"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
"affleck merely creates an outline for a role he still needs to grow into, a role that ford effortlessly filled with authority.","affleck merely served an outline for a role he still needs to grow into, a role that ford "" filled with followers."
"enchanted with low - life tragedy and liberally seasoned with emotional outbursts... what is sorely missing, however, is the edge of wild, lunatic invention that we associate with cage's best acting.","enchanted with low - life tragedy and,ly seasoned with emotional outbursts... what is curbly missing, however, is the edge of wild, lunatic invention that we associate with cage's best acting."
"... the same tired old gags, modernized for the extreme sports generation.","... the same unreleased old gags, stimulated for the extreme sports generation."
a wild ride juiced with enough energy and excitement for at least three films.,a young ride juiced with enough energy and neutrality for at least two films.
it's actually too sincere - - the crime movie equivalent of a chick flick.,it's somewhat too yeah - - the crime movie equivalent of a chick flick.
the gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon.,the stuffs that fly at such a smoothly remarkable pace that the only flash off that we were aware of was the one we felt when the movie ended so damned excellent.
"sorority boys, which is as bad at it is cruel, takes every potential laugh and stiletto - stomps the life out of it.","sorority ', which is as bad as it is hideous, takes every potential laugh and stiletto, stomps the life out of it."
"a weird little movie that's amusing enough while you watch it, offering fine acting moments and pungent insights into modern l. a.'s show - biz and media subcultures.","a reporter little movie that's amusing enough while you watch it, offering fine sport moments and pungent insights into modern l. a.'s show - biz and media subcultures."
what happens when something goes bump in the night and nobody cares?,what happens when something goes bowl in the night and nobody cares?
"make no mistake, ivans xtc.","make no mistake, umms xtc."
"like mike isn't going to make box office money that makes michael jordan jealous, but it has some cute moments, funny scenes, and hits the target audience - lrb - young bow wow fans - rrb - - with nothing but net.","like you isn't going to make box office money that makes michael jordan jealous, but it has some cute moments, funny scenes, and hits the target audience - lrb - young bow wow people - ecb - - with nothing but lgbt."
"you can almost see mendes and company getting together before a single frame had been shot and collectively vowing, ` this is going to be something really good. '","you can almost see rica and company getting together before a single frame had been shot and collectively cooperateing, ` this is going to be something really good. ”"
